,Title,Employer,Location,Deadline
208,                                        Junior IT specijalist (m/ž)                                    ,Mplus Croatia,Zagreb,15.01.2024.
209,                                        Stručnjak za podršku prodaji korisnicima (m/ž)                                    ,Hrvatski Telekom,Zagreb,15.01.2024.
210,                                        Helpdesk tehničar (m/ž)                                    ,Axians Hrvatska d.o.o.,Zagreb,14.01.2024.
211,                                        Full Stack Web Developer (m/ž)                                    ,Code Vibe d.o.o,Split,13.01.2024.
212,                                        IT Implementation and Support Specialist (m/f)                                    ,DEKRA zapošljavanje d.o.o.,Zagreb,22.01.2024.
213,                                        Poslovni analitičar (m/ž)                                    ,Zagrebačka banka d.d.,Zagreb,19.01.2024.
214,                                        Suradnik u CRM odjelu (m/ž)                                    ,Lidl Hrvatska d.o.o. k.d.,Velika Gorica,26.01.2024.
215,                                        Sistem administrator (m/ž)                                    ,Makromikro grupa d.o.o.,Velika Gorica,21.01.2024.
216,                                        Web administrator (m/ž)                                    ,DE TEMPORE d.o.o.,Zagreb,21.01.2024.
217,                                        Inženjer za mrežne tehnologije podatkovnih centara (m/ž)                                    ,Axians Hrvatska d.o.o.,Zagreb,19.01.2024.
218,                                        Specijalist za baze podataka (m/ž)                                    ,Addiko Bank d.d.,Osijek,18.01.2024.
219,                                        ICT mrežni administrator - inženjer (m/ž)                                    ,CALLIDUS GRUPA društvo s ograničenom odgovornošću za poslovno savjetovanje,Zagreb,15.01.2024.
220,                                        Salesforce Developer mid/senior (m/ž)                                    ,HSM Informatika d.o.o.,Zagreb,15.01.2024.
221,                                        IT specijalist (m/ž)                                    ,Perutnina Ptuj - Pipo d.o.o.,Čakovec,14.01.2024.
222,                                        Tehničar za telekomunikacije (m/ž)                                    ,Hrvatski Telekom,"Rovinj, Crikvenica, Rijeka, Buzet, Zadar, Split, Kaštela, Brač, Dubrovnik, Velika Gorica, Osijek, Varaždin, Zagreb, Sisak, Valpovo, Donji Miholjac, Čakovec",13.01.2024.
223,                                        PHP Backend Developer (m/f)                                    ,ch-aviation services d.o.o.,Zagreb,30.01.2024.
224,                                        Suradnik za podršku korisnicima (m/ž)                                    ,Croatia banka d.d.,Zagreb,25.01.2024.
225,                                        Digital Workplace Technologies Expert (m/f)                                    ,Coca-Cola HBC Hrvatska d.o.o.,Zagreb,22.01.2024.
226,                                        BI Expert - Coordinator (m/f/d)                                    ,SELECTIO d.o.o.,Trebnje (Slovenija),22.01.2024.
227,                                        Serviser produkcijskih uređaja (m/ž)                                    ,"Konica Minolta Hrvatska – poslovna rješenja, d.o.o.",Split,21.01.2024.
228,                                        Specijalist odgovora na incidente kibernetičke sigurnosti (m/ž)                                    ,Zagrebačka banka d.d.,"Zagreb, Split, Osijek, Varaždin",09.02.2024.
229,                                        Servisni tehničar (m/ž)                                    ,PRIMARK d.o.o. za označivanje proizvoda i ambalaže i trgovinu,Zagreb,19.01.2024.
230,                                        Tehničar za telekomunikacije (m/ž)                                    ,Electus DGS d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Brač, Buzet, Velika Gorica, Čakovec, Valpovo, Donji Miholjac, Kaštela, Crikvenica, Zadar",17.01.2024.
231,                                        Viši stručni suradnik u Supply Chain Managementu (m/ž)                                    ,Kaufland Hrvatska k.d.,Zagreb,15.01.2024.
232,                                        Sistem inženjer za sigurnosne mrežne tehnologije (m/ž)                                    ,Sedam IT d.o.o.,Zagreb,17.01.2024.
233,                                        Product Marketing Expert (f/m)                                    ,A1,Zagreb,13.01.2024.
234,                                        IT tehničar / inženjer podrške  - Junior/Senior (m/ž)                                    ,CALLIDUS GRUPA društvo s ograničenom odgovornošću za poslovno savjetovanje,Zagreb,13.01.2024.
235,                                        Projektant - telecom / brodska elektronika (m/ž)                                    ,Navis Consult d.o.o.,"Rijeka, Pula, Split",16.01.2024.
236,                                        Tehničar za telekomunikacije (m/ž)                                    ,Smart Flex d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Buzet, Kaštel , Velika Gorica, Crikvenica, Brač, Zadar, Čakovec, Valpovo, Donji Miholjac",02.02.2024.
237,                                        Full Stack Developer (m/ž)                                    ,mStart plus d.o.o.,Zagreb,22.01.2024.
238,                                        Senior Microsoft Administrator (d/m/f)                                    ,Stratus sustavi d.o.o.,Zagreb,22.01.2024.
239,                                        Poslovni konzultant / analitičar - IOT (m/ž)                                    ,Omega software d.o.o.,Zagreb,21.01.2024.
240,                                        Operater za online casino (m/ž)                                    ,Adria Casino d.o.o.,Sesvete,20.01.2024.
241,                                        IT inženjer za komunikacijske sustave - ekspert (m/ž)                                    ,Financijska agencija,Zagreb,18.01.2024.
242,                                        System Administrator - Broadcast IT (m/f)                                    ,RTL Hrvatska d.o.o.,Zagreb,18.01.2024.
243,                                        Sistem analitičar ili IT arhitekt (m/ž)                                    ,"HBOR, Hrvatska banka za obnovu i razvitak",Zagreb,15.01.2024.
244,                                        Tehničar za telekomunikacije (m/ž)                                    ,Datakom j.d.o.o. za telekomunikacije,Zagreb,14.01.2024.
245,                                        Service Delivery Director (m/f/d)                                    ,SELECTIO d.o.o.,Zagreb or Pula,13.01.2024.
246,                                        Senior Web Designer (m/f)                                    ,Kriisp d.o.o,Zagreb,13.01.2024.
247,                                        Specijalist za koordinaciju priključenja (m/ž)                                    ,Telemach Hrvatska d.o.o.,Zagreb,19.01.2024.
248,                                        Tehničar za podršku korisnicima (m/ž)                                    ,Wiener osiguranje Vienna Insurance Group d.d.,Split,22.01.2024.
249,                                        Post Security Manager / IT Support Officer (m/f)                                    ,British Embassy Zagreb,Zagreb,01.02.2024.
250,                                        Revenue Management Intern (m/f/x)                                    ,Best Solutions d.o.o.,"Opatija, Lovran",21.01.2024.
251,                                        BI Specialist (m/ž)                                    ,Telemach Hrvatska d.o.o.,Zagreb,19.01.2024.
252,                                        Servisni tehničar za multifunkcijske uređaje (m/ž)                                    ,"Konica Minolta Hrvatska – poslovna rješenja, d.o.o.",Split,18.01.2024.
253,                                        Junior IT specijalist (m/ž)                                    ,Mplus Croatia,Zagreb,15.01.2024.
254,                                        Stručnjak za podršku prodaji korisnicima (m/ž)                                    ,Hrvatski Telekom,Zagreb,15.01.2024.
255,                                        Helpdesk tehničar (m/ž)                                    ,Axians Hrvatska d.o.o.,Zagreb,14.01.2024.
256,                                        Full Stack Web Developer (m/ž)                                    ,Code Vibe d.o.o,Split,13.01.2024.
257,                                        IT Implementation and Support Specialist (m/f)                                    ,DEKRA zapošljavanje d.o.o.,Zagreb,22.01.2024.
258,                                        Poslovni analitičar (m/ž)                                    ,Zagrebačka banka d.d.,Zagreb,19.01.2024.
259,                                        Suradnik u CRM odjelu (m/ž)                                    ,Lidl Hrvatska d.o.o. k.d.,Velika Gorica,26.01.2024.
260,                                        Sistem administrator (m/ž)                                    ,Makromikro grupa d.o.o.,Velika Gorica,21.01.2024.
261,                                        Web administrator (m/ž)                                    ,DE TEMPORE d.o.o.,Zagreb,21.01.2024.
262,                                        Inženjer za mrežne tehnologije podatkovnih centara (m/ž)                                    ,Axians Hrvatska d.o.o.,Zagreb,19.01.2024.
263,                                        Specijalist za baze podataka (m/ž)                                    ,Addiko Bank d.d.,Osijek,18.01.2024.
264,                                        ICT mrežni administrator - inženjer (m/ž)                                    ,CALLIDUS GRUPA društvo s ograničenom odgovornošću za poslovno savjetovanje,Zagreb,15.01.2024.
265,                                        Salesforce Developer mid/senior (m/ž)                                    ,HSM Informatika d.o.o.,Zagreb,15.01.2024.
266,                                        IT specijalist (m/ž)                                    ,Perutnina Ptuj - Pipo d.o.o.,Čakovec,14.01.2024.
267,                                        Tehničar za telekomunikacije (m/ž)                                    ,Hrvatski Telekom,"Rovinj, Crikvenica, Rijeka, Buzet, Zadar, Split, Kaštela, Brač, Dubrovnik, Velika Gorica, Osijek, Varaždin, Zagreb, Sisak, Valpovo, Donji Miholjac, Čakovec",13.01.2024.
268,                                        PHP Backend Developer (m/f)                                    ,ch-aviation services d.o.o.,Zagreb,30.01.2024.
269,                                        Suradnik za podršku korisnicima (m/ž)                                    ,Croatia banka d.d.,Zagreb,25.01.2024.
270,                                        Digital Workplace Technologies Expert (m/f)                                    ,Coca-Cola HBC Hrvatska d.o.o.,Zagreb,22.01.2024.
271,                                        BI Expert - Coordinator (m/f/d)                                    ,SELECTIO d.o.o.,Trebnje (Slovenija),22.01.2024.
272,                                        Serviser produkcijskih uređaja (m/ž)                                    ,"Konica Minolta Hrvatska – poslovna rješenja, d.o.o.",Split,21.01.2024.
273,                                        Specijalist odgovora na incidente kibernetičke sigurnosti (m/ž)                                    ,Zagrebačka banka d.d.,"Zagreb, Split, Osijek, Varaždin",09.02.2024.
274,                                        Servisni tehničar (m/ž)                                    ,PRIMARK d.o.o. za označivanje proizvoda i ambalaže i trgovinu,Zagreb,19.01.2024.
275,                                        Tehničar za telekomunikacije (m/ž)                                    ,Electus DGS d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Brač, Buzet, Velika Gorica, Čakovec, Valpovo, Donji Miholjac, Kaštela, Crikvenica, Zadar",17.01.2024.
276,                                        Viši stručni suradnik u Supply Chain Managementu (m/ž)                                    ,Kaufland Hrvatska k.d.,Zagreb,15.01.2024.
277,                                        Sistem inženjer za sigurnosne mrežne tehnologije (m/ž)                                    ,Sedam IT d.o.o.,Zagreb,17.01.2024.
278,                                        Product Marketing Expert (f/m)                                    ,A1,Zagreb,13.01.2024.
279,                                        IT tehničar / inženjer podrške  - Junior/Senior (m/ž)                                    ,CALLIDUS GRUPA društvo s ograničenom odgovornošću za poslovno savjetovanje,Zagreb,13.01.2024.
280,                                        Projektant - telecom / brodska elektronika (m/ž)                                    ,Navis Consult d.o.o.,"Rijeka, Pula, Split",16.01.2024.
281,                                        Tehničar za telekomunikacije (m/ž)                                    ,Smart Flex d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Buzet, Kaštel , Velika Gorica, Crikvenica, Brač, Zadar, Čakovec, Valpovo, Donji Miholjac",02.02.2024.
282,                                        Full Stack Developer (m/ž)                                    ,mStart plus d.o.o.,Zagreb,22.01.2024.
283,                                        Senior Microsoft Administrator (d/m/f)                                    ,Stratus sustavi d.o.o.,Zagreb,22.01.2024.
284,                                        Poslovni konzultant / analitičar - IOT (m/ž)                                    ,Omega software d.o.o.,Zagreb,21.01.2024.
285,                                        Operater za online casino (m/ž)                                    ,Adria Casino d.o.o.,Sesvete,20.01.2024.
286,                                        IT inženjer za komunikacijske sustave - ekspert (m/ž)                                    ,Financijska agencija,Zagreb,18.01.2024.
287,                                        System Administrator - Broadcast IT (m/f)                                    ,RTL Hrvatska d.o.o.,Zagreb,18.01.2024.
288,                                        Sistem analitičar ili IT arhitekt (m/ž)                                    ,"HBOR, Hrvatska banka za obnovu i razvitak",Zagreb,15.01.2024.
289,                                        Tehničar za telekomunikacije (m/ž)                                    ,Datakom j.d.o.o. za telekomunikacije,Zagreb,14.01.2024.
290,                                        Service Delivery Director (m/f/d)                                    ,SELECTIO d.o.o.,Zagreb or Pula,13.01.2024.
291,                                        Senior Web Designer (m/f)                                    ,Kriisp d.o.o,Zagreb,13.01.2024.
292,                                        Specijalist za koordinaciju priključenja (m/ž)                                    ,Telemach Hrvatska d.o.o.,Zagreb,19.01.2024.
293,                                        Tehničar za podršku korisnicima (m/ž)                                    ,Wiener osiguranje Vienna Insurance Group d.d.,Split,22.01.2024.
294,                                        Post Security Manager / IT Support Officer (m/f)                                    ,British Embassy Zagreb,Zagreb,01.02.2024.
295,                                        Revenue Management Intern (m/f/x)                                    ,Best Solutions d.o.o.,"Opatija, Lovran",21.01.2024.
296,                                        BI Specialist (m/ž)                                    ,Telemach Hrvatska d.o.o.,Zagreb,19.01.2024.
297,                                        Servisni tehničar za multifunkcijske uređaje (m/ž)                                    ,"Konica Minolta Hrvatska – poslovna rješenja, d.o.o.",Split,18.01.2024.
298,                                        Junior IT specijalist (m/ž)                                    ,Mplus Croatia,Zagreb,15.01.2024.
299,                                        Stručnjak za podršku prodaji korisnicima (m/ž)                                    ,Hrvatski Telekom,Zagreb,15.01.2024.
300,                                        Helpdesk tehničar (m/ž)                                    ,Axians Hrvatska d.o.o.,Zagreb,14.01.2024.
301,                                        Full Stack Web Developer (m/ž)                                    ,Code Vibe d.o.o,Split,13.01.2024.
302,                                        IT Implementation and Support Specialist (m/f)                                    ,DEKRA zapošljavanje d.o.o.,Zagreb,22.01.2024.
303,                                        Poslovni analitičar (m/ž)                                    ,Zagrebačka banka d.d.,Zagreb,19.01.2024.
304,                                        Suradnik u CRM odjelu (m/ž)                                    ,Lidl Hrvatska d.o.o. k.d.,Velika Gorica,26.01.2024.
305,                                        Sistem administrator (m/ž)                                    ,Makromikro grupa d.o.o.,Velika Gorica,21.01.2024.
306,                                        Web administrator (m/ž)                                    ,DE TEMPORE d.o.o.,Zagreb,21.01.2024.
307,                                        Inženjer za mrežne tehnologije podatkovnih centara (m/ž)                                    ,Axians Hrvatska d.o.o.,Zagreb,19.01.2024.
308,                                        Specijalist za baze podataka (m/ž)                                    ,Addiko Bank d.d.,Osijek,18.01.2024.
309,                                        ICT mrežni administrator - inženjer (m/ž)                                    ,CALLIDUS GRUPA društvo s ograničenom odgovornošću za poslovno savjetovanje,Zagreb,15.01.2024.
310,                                        Salesforce Developer mid/senior (m/ž)                                    ,HSM Informatika d.o.o.,Zagreb,15.01.2024.
311,                                        IT specijalist (m/ž)                                    ,Perutnina Ptuj - Pipo d.o.o.,Čakovec,14.01.2024.
312,                                        Tehničar za telekomunikacije (m/ž)                                    ,Hrvatski Telekom,"Rovinj, Crikvenica, Rijeka, Buzet, Zadar, Split, Kaštela, Brač, Dubrovnik, Velika Gorica, Osijek, Varaždin, Zagreb, Sisak, Valpovo, Donji Miholjac, Čakovec",13.01.2024.
313,                                        PHP Backend Developer (m/f)                                    ,ch-aviation services d.o.o.,Zagreb,30.01.2024.
314,                                        Suradnik za podršku korisnicima (m/ž)                                    ,Croatia banka d.d.,Zagreb,25.01.2024.
315,                                        Digital Workplace Technologies Expert (m/f)                                    ,Coca-Cola HBC Hrvatska d.o.o.,Zagreb,22.01.2024.
316,                                        BI Expert - Coordinator (m/f/d)                                    ,SELECTIO d.o.o.,Trebnje (Slovenija),22.01.2024.
317,                                        Serviser produkcijskih uređaja (m/ž)                                    ,"Konica Minolta Hrvatska – poslovna rješenja, d.o.o.",Split,21.01.2024.
318,                                        Specijalist odgovora na incidente kibernetičke sigurnosti (m/ž)                                    ,Zagrebačka banka d.d.,"Zagreb, Split, Osijek, Varaždin",09.02.2024.
319,                                        Servisni tehničar (m/ž)                                    ,PRIMARK d.o.o. za označivanje proizvoda i ambalaže i trgovinu,Zagreb,19.01.2024.
320,                                        Tehničar za telekomunikacije (m/ž)                                    ,Electus DGS d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Brač, Buzet, Velika Gorica, Čakovec, Valpovo, Donji Miholjac, Kaštela, Crikvenica, Zadar",17.01.2024.
321,                                        Viši stručni suradnik u Supply Chain Managementu (m/ž)                                    ,Kaufland Hrvatska k.d.,Zagreb,15.01.2024.
322,                                        Sistem inženjer za sigurnosne mrežne tehnologije (m/ž)                                    ,Sedam IT d.o.o.,Zagreb,17.01.2024.
323,                                        Product Marketing Expert (f/m)                                    ,A1,Zagreb,13.01.2024.
324,                                        IT tehničar / inženjer podrške  - Junior/Senior (m/ž)                                    ,CALLIDUS GRUPA društvo s ograničenom odgovornošću za poslovno savjetovanje,Zagreb,13.01.2024.
325,                                        Projektant - telecom / brodska elektronika (m/ž)                                    ,Navis Consult d.o.o.,"Rijeka, Pula, Split",16.01.2024.
326,                                        Tehničar za telekomunikacije (m/ž)                                    ,Smart Flex d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Buzet, Kaštel , Velika Gorica, Crikvenica, Brač, Zadar, Čakovec, Valpovo, Donji Miholjac",02.02.2024.
327,                                        Full Stack Developer (m/ž)                                    ,mStart plus d.o.o.,Zagreb,22.01.2024.
328,                                        Senior Microsoft Administrator (d/m/f)                                    ,Stratus sustavi d.o.o.,Zagreb,22.01.2024.
329,                                        Poslovni konzultant / analitičar - IOT (m/ž)                                    ,Omega software d.o.o.,Zagreb,21.01.2024.
330,                                        Operater za online casino (m/ž)                                    ,Adria Casino d.o.o.,Sesvete,20.01.2024.
331,                                        IT inženjer za komunikacijske sustave - ekspert (m/ž)                                    ,Financijska agencija,Zagreb,18.01.2024.
332,                                        System Administrator - Broadcast IT (m/f)                                    ,RTL Hrvatska d.o.o.,Zagreb,18.01.2024.
333,                                        Sistem analitičar ili IT arhitekt (m/ž)                                    ,"HBOR, Hrvatska banka za obnovu i razvitak",Zagreb,15.01.2024.
334,                                        Tehničar za telekomunikacije (m/ž)                                    ,Datakom j.d.o.o. za telekomunikacije,Zagreb,14.01.2024.
335,                                        Service Delivery Director (m/f/d)                                    ,SELECTIO d.o.o.,Zagreb or Pula,13.01.2024.
336,                                        Senior Web Designer (m/f)                                    ,Kriisp d.o.o,Zagreb,13.01.2024.
337,                                        Specijalist za koordinaciju priključenja (m/ž)                                    ,Telemach Hrvatska d.o.o.,Zagreb,19.01.2024.
338,                                        Tehničar za podršku korisnicima (m/ž)                                    ,Wiener osiguranje Vienna Insurance Group d.d.,Split,22.01.2024.
339,                                        Post Security Manager / IT Support Officer (m/f)                                    ,British Embassy Zagreb,Zagreb,01.02.2024.
340,                                        Revenue Management Intern (m/f/x)                                    ,Best Solutions d.o.o.,"Opatija, Lovran",21.01.2024.
341,                                        BI Specialist (m/ž)                                    ,Telemach Hrvatska d.o.o.,Zagreb,19.01.2024.
342,                                        Servisni tehničar za multifunkcijske uređaje (m/ž)                                    ,"Konica Minolta Hrvatska – poslovna rješenja, d.o.o.",Split,18.01.2024.
343,                                        Junior IT specijalist (m/ž)                                    ,Mplus Croatia,Zagreb,15.01.2024.
344,                                        Stručnjak za podršku prodaji korisnicima (m/ž)                                    ,Hrvatski Telekom,Zagreb,15.01.2024.
345,                                        Helpdesk tehničar (m/ž)                                    ,Axians Hrvatska d.o.o.,Zagreb,14.01.2024.
346,                                        Full Stack Web Developer (m/ž)                                    ,Code Vibe d.o.o,Split,13.01.2024.
347,                                        IT Implementation and Support Specialist (m/f)                                    ,DEKRA zapošljavanje d.o.o.,Zagreb,22.01.2024.
348,                                        Poslovni analitičar (m/ž)                                    ,Zagrebačka banka d.d.,Zagreb,19.01.2024.
349,                                        Suradnik u CRM odjelu (m/ž)                                    ,Lidl Hrvatska d.o.o. k.d.,Velika Gorica,26.01.2024.
350,                                        Sistem administrator (m/ž)                                    ,Makromikro grupa d.o.o.,Velika Gorica,21.01.2024.
351,                                        Web administrator (m/ž)                                    ,DE TEMPORE d.o.o.,Zagreb,21.01.2024.
352,                                        Inženjer za mrežne tehnologije podatkovnih centara (m/ž)                                    ,Axians Hrvatska d.o.o.,Zagreb,19.01.2024.
353,                                        Specijalist za baze podataka (m/ž)                                    ,Addiko Bank d.d.,Osijek,18.01.2024.
354,                                        ICT mrežni administrator - inženjer (m/ž)                                    ,CALLIDUS GRUPA društvo s ograničenom odgovornošću za poslovno savjetovanje,Zagreb,15.01.2024.
355,                                        Salesforce Developer mid/senior (m/ž)                                    ,HSM Informatika d.o.o.,Zagreb,15.01.2024.
356,                                        IT specijalist (m/ž)                                    ,Perutnina Ptuj - Pipo d.o.o.,Čakovec,14.01.2024.
357,                                        Tehničar za telekomunikacije (m/ž)                                    ,Hrvatski Telekom,"Rovinj, Crikvenica, Rijeka, Buzet, Zadar, Split, Kaštela, Brač, Dubrovnik, Velika Gorica, Osijek, Varaždin, Zagreb, Sisak, Valpovo, Donji Miholjac, Čakovec",13.01.2024.
358,                                        PHP Backend Developer (m/f)                                    ,ch-aviation services d.o.o.,Zagreb,30.01.2024.
359,                                        Suradnik za podršku korisnicima (m/ž)                                    ,Croatia banka d.d.,Zagreb,25.01.2024.
