,Title,Employer,Location,Deadline
115,                                        Revenue Management Intern (m/f/x)                                    ,Best Solutions d.o.o.,"Opatija, Lovran",21.01.2024.
116,                                        BI Specialist (m/ž)                                    ,Telemach Hrvatska d.o.o.,Zagreb,19.01.2024.
117,                                        Servisni tehničar za multifunkcijske uređaje (m/ž)                                    ,"Konica Minolta Hrvatska – poslovna rješenja, d.o.o.",Split,18.01.2024.
118,                                        Junior IT specijalist (m/ž)                                    ,Mplus Croatia,Zagreb,15.01.2024.
119,                                        Stručnjak za podršku prodaji korisnicima (m/ž)                                    ,Hrvatski Telekom,Zagreb,15.01.2024.
120,                                        Helpdesk tehničar (m/ž)                                    ,Axians Hrvatska d.o.o.,Zagreb,14.01.2024.
121,                                        Full Stack Web Developer (m/ž)                                    ,Code Vibe d.o.o,Split,13.01.2024.
122,                                        IT Implementation and Support Specialist (m/f)                                    ,DEKRA zapošljavanje d.o.o.,Zagreb,22.01.2024.
123,                                        Poslovni analitičar (m/ž)                                    ,Zagrebačka banka d.d.,Zagreb,19.01.2024.
124,                                        Suradnik u CRM odjelu (m/ž)                                    ,Lidl Hrvatska d.o.o. k.d.,Velika Gorica,26.01.2024.
125,                                        Sistem administrator (m/ž)                                    ,Makromikro grupa d.o.o.,Velika Gorica,21.01.2024.
126,                                        Web administrator (m/ž)                                    ,DE TEMPORE d.o.o.,Zagreb,21.01.2024.
127,                                        Inženjer za mrežne tehnologije podatkovnih centara (m/ž)                                    ,Axians Hrvatska d.o.o.,Zagreb,19.01.2024.
128,                                        Specijalist za baze podataka (m/ž)                                    ,Addiko Bank d.d.,Osijek,18.01.2024.
129,                                        ICT mrežni administrator - inženjer (m/ž)                                    ,CALLIDUS GRUPA društvo s ograničenom odgovornošću za poslovno savjetovanje,Zagreb,15.01.2024.
130,                                        Salesforce Developer mid/senior (m/ž)                                    ,HSM Informatika d.o.o.,Zagreb,15.01.2024.
131,                                        IT specijalist (m/ž)                                    ,Perutnina Ptuj - Pipo d.o.o.,Čakovec,14.01.2024.
132,                                        Tehničar za telekomunikacije (m/ž)                                    ,Hrvatski Telekom,"Rovinj, Crikvenica, Rijeka, Buzet, Zadar, Split, Kaštela, Brač, Dubrovnik, Velika Gorica, Osijek, Varaždin, Zagreb, Sisak, Valpovo, Donji Miholjac, Čakovec",13.01.2024.
133,                                        PHP Backend Developer (m/f)                                    ,ch-aviation services d.o.o.,Zagreb,30.01.2024.
134,                                        Suradnik za podršku korisnicima (m/ž)                                    ,Croatia banka d.d.,Zagreb,25.01.2024.
135,                                        Digital Workplace Technologies Expert (m/f)                                    ,Coca-Cola HBC Hrvatska d.o.o.,Zagreb,22.01.2024.
136,                                        BI Expert - Coordinator (m/f/d)                                    ,SELECTIO d.o.o.,Trebnje (Slovenija),22.01.2024.
137,                                        Serviser produkcijskih uređaja (m/ž)                                    ,"Konica Minolta Hrvatska – poslovna rješenja, d.o.o.",Split,21.01.2024.
138,                                        Specijalist odgovora na incidente kibernetičke sigurnosti (m/ž)                                    ,Zagrebačka banka d.d.,"Zagreb, Split, Osijek, Varaždin",09.02.2024.
139,                                        Servisni tehničar (m/ž)                                    ,PRIMARK d.o.o. za označivanje proizvoda i ambalaže i trgovinu,Zagreb,19.01.2024.
